rank,regionId,name,pixels
599,87310,Kassel #2,17761020
600,95494,Montpellier #6,17740495
601,85260,Bremen #2,17738174
602,120236,Caloocan City #1,17678919
603,120237,Quezon City #1,17672416
604,136090,Bandung #2,17670187
605,89682,Vancouver #215,17637437
606,81722,Vladimir #4,17633920
607,101458,Sunnyvale #1,17630603
608,90370,Rouen #10,17612005
609,98603,Adapazarı #7,17581335
610,87308,Hamm #1,17579553
611,102325,Cheonan #1,17563029
612,107437,Shanghai #8,17545036
613,88331,Köln #8,17531133
614,122778,Phan Thiết #1,17531088
615,97019,Burgos #2,17500327
616,101120,Murcia #6,17489222
617,88336,Erfurt #6,17477676
618,169113,Coyhaique #69,17465861
619,124041,San José #3,17463373
620,87362,Saratov #17,17439096
621,91914,Besançon #4,17402603
622,31010,Longyearbyen #2301,17395329
623,102139,Málaga #4,17363053
624,103231,Erbil #4,17341387
625,87813,Gent #2,17333037
626,87292,Bristol #3,17326718
627,90366,Rennes #2,17237578
628,85320,Samara #10,17235148
629,84734,Sheffield #1,17227425
630,93439,Nantes #28,17210350
631,85274,Bydgoszcz #4,17193890
632,87304,Eindhoven #2,17193757
633,148160,Taubaté #1,17190076
634,115606,Việt Trì #1,17154648
635,131727,Portoviejo #2,17125227
636,92462,Mykolayiv #3,17121457
637,144037,Santa Cruz de la Sierra #23,17118865
638,175275,Stanley #308,17092005
639,155822,Paysandú #2,17090209
640,90883,Saint-Quentin-en-Yvelines #2,17078398
641,123035,Maracaibo #2,17054740
642,126614,Manizales #2,17040358
643,151196,Copiapó #17,17009225
644,115000,Jeddah #12,17007515
645,150708,Foz do Iguaçu #3,17007138
646,136609,Surabaya #15,16971206
647,103861,Gwangju #1,16960888
648,98548,Porto #5,16951584
649,144541,Tacna #12,16930139
650,147139,Juiz de Fora #3,16926967
651,83230,Kaliningrad #12,16919727
652,93960,Lyon #7,16904409
653,31009,Longyearbyen #2300,16896113
654,120447,Villa Nueva #1,16877602
655,76048,Oslo #4,16872604
656,111246,Miami #1,16861251
657,89373,Kraków #6,16842091
658,96580,Makhachkala #14,16825911
659,96619,Bishkek #31,16817175
660,84732,Liverpool #1,16801089
661,157467,Cape Town #282,16789911
662,99136,Yerevan #2,16784518
663,90903,Vienna #3,16777672
664,151725,Corrientes #2,16767316
665,136091,Cirebon #2,16766451
666,87293,Bristol #4,16727653
667,86702,Miquelon #66,16722816
668,103241,Tehran #3,16706744
669,120228,Wanning #35,16703998
670,102206,Mosul #1,16703044
671,150715,Joinville #2,16701147
672,123528,Alajuela #3,16682097
673,91405,Zürich #2,16681731
674,104372,Mokpo #9,16665087
675,144035,Sacaba #4,16654952
676,148675,Rio de Janeiro #3,16648290
677,84776,Minsk #13,16636840
678,133264,Cuenca #3,16624976
679,91905,Le Mans #5,16608892
680,87320,Wrocław #4,16595936
681,160409,Concepción #2,16585212
682,109802,Las Palmas de Gran Canaria #19,16570863
683,100947,Oakland #1,16552191
684,29310,Yellowknife #2854,16525171
685,89897,Vinnytsya #7,16522009
686,122266,Buôn Ma Thuột #6,16495129
687,103242,Tehran #4,16474174
688,87832,Wrocław #8,16474098
689,83236,Vilnius #5,16473912
690,102150,Tizi Ouzou #3,16424763
691,123811,Kota Kinabalu #2,16409374
692,95014,Bucharest #4,16398763
693,123797,Rạch Giá #1,16398235
694,90424,Luhansk #9,16374206
695,91730,Seattle #4,16371931
696,93463,Zagreb #2,16370144
697,87808,Brighton #1,16359393
698,148161,Angra dos Reis #1,16337568
699,110396,Ha'il #19,16325101
700,130704,Quito #1,16322086
701,89372,Kraków #5,16315951
702,84219,Blackpool #3,16306373
703,88328,Liège #1,16283958
704,151740,Florianópolis #6,16277922
705,131772,Belém #2,16265792
706,131218,Quito #5,16264848
707,151729,Posadas #3,16250218
708,120449,Santa Ana #1,16229621
709,88865,Lviv #7,16226290
710,90901,Linz #6,16195338
711,135577,Jakarta #2,16146179
712,100946,San Francisco #1,16137999
713,128913,Kuala Lumpur #1,16135967
714,100134,Mytilene #2,16109817
715,85247,Nottingham #1,16106192
716,108338,Aqaba #1,16097009
717,75528,Bergen #122,16086740
718,144551,Santa Cruz de la Sierra #33,16078696
719,86282,Enschede #2,16078532
720,103876,Hamamatsu #1,16074401
721,122267,Nha Trang #3,16073985
722,88373,Belgorod #2,16067531
723,154267,Coquimbo #171,16048445
724,80222,Tyumen #73,16039905
725,160921,Temuco #3,16038871
726,125081,Cúcuta #3,16027438
727,174765,Stanley #286,15981328
728,86190,Miquelon #61,15962944
729,26776,Iqaluit #1945,15934522
730,115609,Hạ Long #1,15923793
731,102141,Almería #2,15917498
732,99628,Eskişehir #5,15907478
733,87836,Łódź #12,15900797
734,160942,Mar del Plata #13,15894874
735,128661,Neiva #1,15865628
736,153816,Guarapari #30,15853492
737,90935,Makiivka #1,15841921
738,153271,Caxias do Sul #6,15819044
739,79190,Nizhny Tagil #86,15800661
740,156317,Santiago #6,15791681
741,112558,Keelung #15,15788176
742,152732,La Serena #3,15784782
743,98077,Tirana #4,15774316
744,158362,Talca #3,15771632
745,99577,Salamanca #10,15770427
746,136094,Semarang #2,15762449
747,144033,Oruro #8,15752487
748,136089,Bandung #1,15735909
749,124559,Panamá #2,15730834
750,133788,Leticia #28,15707410
751,146113,Betim #2,15706742
752,102326,Cheongju-si #1,15693543
753,100084,Lisbon #2,15692037
754,99435,Denver #1,15683521
755,100480,St. Louis #8,15672635
756,87305,Eindhoven #3,15661664
757,86863,Orenburg #17,15639879
758,86281,Arnhem #1,15634812
759,85759,Leicester #1,15624498
760,88867,Lviv #9,15619766
761,112048,Keelung #12,15595304
762,162456,Valdivia #162,15583669
763,144550,Santa Cruz de la Sierra #32,15578270
764,79673,Yaroslavl #9,15568336
765,101812,Incheon #2,15566870
766,86270,Birmingham #2,15557457
767,97021,Logroño #1,15552704
768,100090,Córdoba #2,15542154
769,87295,Reading #2,15535777
770,156846,Mercedes #1,15522229
771,123550,Barquisimeto #4,15507110
772,26438,Nar'yan-Mar #1189,15467444
773,82793,Omsk #68,15439589
774,88363,Kyiv #7,15431332
775,157875,Maldonado #2,15431047
776,104386,Nara-shi #1,15430718
777,122268,Nha Trang #4,15406395
778,136605,Depok #2,15402730
779,122773,Phnom Penh #3,15391740
780,103743,Kirkuk #1,15386674
781,85757,Wolverhampton #1,15375585
782,155313,Rivera #7,15356646
783,85246,Sheffield #2,15352230
784,102837,Daejeon #1,15337772
785,119706,Da Nang #5,15336734
786,97889,Salt Lake City #29,15318662
787,84223,Leeds #3,15315453
788,145601,Betim #1,15312798
789,97028,Terrassa #2,15275922
790,94518,Novorossiysk #5,15239731
791,112045,Taipei #1,15234979
792,87839,Lublin #9,15230260
793,99573,Coimbra #4,15228990
794,145571,Sucre #8,15206252
795,101631,Murcia #8,15205445
796,79184,Perm #19,15154604
797,156842,Rosario #10,15143481
798,103366,Sagamihara #1,15132701
799,91404,Zürich #1,15113304
800,81720,Orekhovo-Zuyevo #2,15109860
801,102854,Takasaki #2,15087532
802,101625,Sevilla #7,15059000
803,87327,Lublin #5,15050109
804,138933,Sinop #41,15036016
805,103873,Kyoto #3,15028086
806,97435,Providence #1,15026855
807,161952,Neuquén #30,15026556
808,126125,Linden #1,15013484
809,81732,Cheboksary #17,14999652
810,81796,Krasnoyarsk #82,14987478
811,84735,Kingston upon Hull #30,14978583
